company_name,industry_vertical,founding_year,arr_thousands,employee_count,churn_rate_percent,yoy_growth_rate_percent
SignalTech,Fintech,2021,816,5,11.3,136.0
VertexSync,Retail,2010,1333,21,2.3,23.9
TerraBase,Retail,2013,2913,6,11.9,21.2
ForgeIO,Marketing Tech,2012,1982,14,6.7,34.1
ScaleLabs,Media,2018,1165,23,10.2,72.0
BoltSync,Real Estate,2021,512,5,13.6,132.6
CipherLogic,Media,2020,1020,19,5.5,75.6
TerraSystems,Telecom,2020,1267,14,5.5,74.8
WaveBase,EdTech,2020,720,19,6.1,54.8
OmniSync,Insurance,2013,2864,25,8.0,28.5
PulseBase,Agriculture,2014,3009,18,6.7,79.8
EdgeFlow,Travel,2011,1366,8,12.3,39.6
ApexApp,Logistics,2019,1606,25,14.3,57.6
CoreBase,Marketing Tech,2022,853,5,8.9,144.0
YieldLogic,Energy,2022,736,5,13.9,86.0
NexusSoftware,Manufacturing,2022,1189,15,7.2,11.4
BoltOps,EdTech,2010,3128,39,12.6,78.5
MatrixSoftware,Cybersecurity,2020,1362,29,9.9,77.5
MatrixCloud,Legal Tech,2016,2096,15,3.6,25.7
BaseAI,Construction,2018,1742,33,10.2,26.0
CloudIO,E-commerce,2018,1465,7,11.4,71.8
OrbitStack,EdTech,2022,898,20,8.6,75.1
HarborLabs,HR Tech,2010,2357,17,9.0,19.8
MetaLogic,Media,2013,2557,37,15.0,68.5
VertexData,Supply Chain,2016,2023,29,2.8,36.5
HarborOps,Retail,2021,1640,15,5.3,14.1
ZenBase,Healthcare,2021,467,9,14.5,89.0
DataFlow,E-commerce,2023,298,5,8.7,142.4
OrbitData,Construction,2019,869,13,8.8,141.5
OmniIO,EdTech,2014,1422,29,11.8,15.1
HarborMind,Construction,2011,2873,14,14.1,71.7
PulseHQ,Legal Tech,2012,2990,34,10.5,10.5
NeonOps,HR Tech,2024,303,14,11.2,55.4
QuestCloud,Insurance,2013,2272,34,13.8,13.6
SignalHub,Marketing Tech,2010,2159,11,4.1,40.9
XenonHub,Agriculture,2010,1244,24,6.8,48.7
ForgeSoftware,Healthcare,2014,1212,8,10.7,34.8
NeonHub,Telecom,2021,685,18,4.8,73.6
MetaIO,Retail,2022,954,21,4.4,133.4
IonData,Real Estate,2023,825,21,6.5,23.1
NexusApp,Insurance,2014,1725,12,10.8,69.1
CoreLogic,Supply Chain,2019,600,5,11.5,60.8
QuestFlow,HR Tech,2016,1437,19,2.0,74.8
BoltHub,E-commerce,2020,946,5,8.6,106.7
AltoApp,Legal Tech,2018,1188,9,10.8,73.2
RapidSync,Legal Tech,2016,1041,12,12.2,52.5
AltoWorks,Media,2017,1700,30,14.5,61.5
UnitySystems,Legal Tech,2018,1379,21,5.1,31.7
QuantumLabs,EdTech,2017,1322,20,9.5,60.3
CipherStack,Logistics,2013,796,5,4.3,144.5
LumenWorks,Healthcare,2018,1161,16,10.7,79.2
QuestIO,Media,2019,1878,17,7.8,21.1
IonWorks,Marketing Tech,2022,1019,5,6.6,15.4
SyncData,Marketing Tech,2015,2125,18,7.0,20.7
OmniSystems,Retail,2016,2338,13,12.8,37.3
BloomSync,Fintech,2023,1174,28,8.1,62.7
EchoBase,Agriculture,2022,1125,13,9.3,37.2
UnityApp,Supply Chain,2023,949,13,11.2,106.2
VertexHub,Cybersecurity,2023,479,5,6.3,62.5
ArcApp,Marketing Tech,2022,640,17,10.0,150.0
BeamData,E-commerce,2022,544,5,13.9,100.8
PulseSoftware,Travel,2020,1251,7,12.0,21.7
QuestTech,Supply Chain,2014,2259,19,10.8,77.1
DashCloud,E-commerce,2019,1129,5,13.1,52.0
